timestamp,electricity,airTemperature,dewTemperature,precipDepth1HR,seaLvlPressure,windDirection,windSpeed,hour,day_of_week,month,is_weekend,HDD,CDD,airTemperature_rolling_24h_mean,airTemperature_rolling_24h_std,electricity_rolling_24h_mean,electricity_rolling_24h_std,electricity_lag_1h,electricity_lag_2h,electricity_lag_3h,electricity_lag_24h
2016-01-02 00:00:00,11.1,10.6,0.6,0.0,1019.9,90.0,3.1,0,5,1,1,7.4,0.0,10.341666666666667,5.248678232508236,11.274166666666666,1.075295375665466,10.72,10.95,11.01,11.82
2016-01-02 01:00:00,11.37,11.1,0.6,0.0,1019.9,100.0,3.1,1,5,1,1,6.9,0.0,10.504166666666666,5.207392668677587,11.250416666666666,1.0662061109440764,11.1,10.72,10.95,11.94
2016-01-02 02:00:00,11.38,10.0,0.6,0.0,1019.5,100.0,2.6,2,5,1,1,8.0,0.0,10.666666666666666,5.124168366601096,11.200833333333334,1.0291994215288705,11.37,11.1,10.72,12.57
2016-01-02 03:00:00,11.61,10.6,0.6,0.0,1019.4,80.0,3.6,3,5,1,1,7.4,0.0,10.9,4.980396352308412,11.16625,0.9992597803852868,11.38,11.37,11.1,12.44
2016-01-02 04:00:00,11.55,11.1,0.6,0.0,1019.4,90.0,4.1,4,5,1,1,6.9,0.0,11.179166666666667,4.784120396793382,11.130833333333333,0.9682117836356952,11.61,11.38,11.37,12.4
2016-01-02 05:00:00,11.59,10.0,0.6,0.0,1019.7,110.0,2.1,5,5,1,1,8.0,0.0,11.4125,4.570920609394926,11.092083333333333,0.9279710413710054,11.55,11.61,11.38,12.52
2016-01-02 06:00:00,11.83,10.0,0.6,0.0,1019.9,110.0,3.1,6,5,1,1,8.0,0.0,11.712499999999999,4.2025160683033445,11.04875,0.8633721173650899,11.59,11.55,11.61,12.87
2016-01-02 07:00:00,12.11,9.4,0.6,0.0,1020.2,100.0,3.6,7,5,1,1,8.6,0.0,11.966666666666669,3.8404785329850255,11.014166666666666,0.798509027291907,11.83,11.59,11.55,12.94
2016-01-02 08:00:00,11.64,10.6,0.6,0.0,1020.8,90.0,4.1,8,5,1,1,7.4,0.0,12.270833333333334,3.3864794039862636,10.970416666666667,0.7283840313333692,12.11,11.83,11.59,12.69
2016-01-02 09:00:00,10.84,12.2,0.0,0.0,1020.9,80.0,6.2,9,5,1,1,5.800000000000001,0.0,12.545833333333333,3.0748600769390455,10.92375,0.6974475981562446,11.64,12.11,11.83,11.96
2016-01-02 10:00:00,10.35,14.4,0.0,0.0,1021.3,80.0,7.7,10,5,1,1,3.5999999999999996,0.0,12.799999999999999,2.958554288543788,10.8825,0.7010256461226941,10.84,11.64,12.11,11.34
2016-01-02 11:00:00,10.24,16.1,0.0,0.0,1021.3,70.0,7.7,11,5,1,1,1.8999999999999986,0.0,13.029166666666667,2.993540751665831,10.840833333333334,0.7085313448723837,10.35,10.84,11.64,11.24
2016-01-02 12:00:00,9.48,17.8,-0.6,0.0,1020.5,100.0,5.1,12,5,1,1,0.1999999999999993,0.0,13.262500000000001,3.1407299760738208,10.79,0.7609033532870522,10.24,10.35,10.84,10.7
2016-01-02 13:00:00,9.58,18.9,-0.6,0.0,1018.9,100.0,5.7,13,5,1,1,0.0,0.8999999999999986,13.450000000000001,3.3396172652357694,10.762083333333331,0.7931827968856642,9.48,10.24,10.35,10.25
