timestamp,electricity,airTemperature,dewTemperature,seaLvlPressure,windDirection,windSpeed,hour,day_of_week,month,is_weekend,HDD,CDD,airTemperature_rolling_24h_mean,airTemperature_rolling_24h_std,electricity_rolling_24h_mean,electricity_rolling_24h_std,electricity_lag_1h,electricity_lag_2h,electricity_lag_3h,electricity_lag_24h
2016-01-01 00:00:00,,3.8,2.4,1020.9,240.0,3.1,0,4,1,0,11.7,0.0,3.8,,,,,,,
2016-01-01 01:00:00,45.6071,3.7,2.4,1021.6,230.0,2.6,1,4,1,0,11.8,0.0,3.75,0.0707106781186545,45.6071,,,,,
2016-01-01 02:00:00,45.6071,2.6,1.9,1021.9,0.0,0.0,2,4,1,0,12.9,0.0,3.3666666666666667,0.6658328118479392,45.6071,0.0,45.6071,,,
2016-01-01 03:00:00,45.1071,2.0,1.2,1022.3,170.0,1.5,3,4,1,0,13.5,0.0,3.025,0.8732124598286489,45.44043333333334,0.2886751345948139,45.6071,45.6071,,
2016-01-01 04:00:00,45.6071,2.3,1.8,1022.7,110.0,1.5,4,4,1,0,13.2,0.0,2.88,0.8228000972289684,45.4821,0.25000000000000056,45.1071,45.6071,45.6071,
2016-01-01 05:00:00,45.1071,2.4,2.0,1023.0,100.0,1.0,5,4,1,0,13.1,0.0,2.8000000000000003,0.7615773105863908,45.4071,0.273861278752583,45.6071,45.1071,45.6071,
2016-01-01 06:00:00,45.1071,2.3,1.8,1023.0,90.0,1.5,6,4,1,0,13.2,0.0,2.7285714285714286,0.720449595077698,45.3571,0.2738612787525827,45.1071,45.6071,45.1071,
2016-01-01 07:00:00,43.6071,2.6,1.9,1022.5,80.0,1.0,7,4,1,0,12.9,0.0,2.7125,0.6685538764484771,45.1071,0.7071067811865475,45.1071,45.1071,45.6071,
2016-01-01 08:00:00,46.1071,2.2,1.5,1022.3,60.0,1.0,8,4,1,0,13.3,0.0,2.6555555555555554,0.6482883446258907,45.2321,0.7440238091428449,43.6071,45.1071,45.1071,
2016-01-01 09:00:00,47.6071,2.2,1.2,1022.0,100.0,2.6,9,4,1,0,13.3,0.0,2.6100000000000003,0.6279596590015422,45.49598888888889,1.0540925533894603,46.1071,43.6071,45.1071,
2016-01-01 10:00:00,47.6071,4.0,1.8,1020.9,90.0,4.1,10,4,1,0,11.5,0.0,2.7363636363636363,0.7283855123116154,45.707100000000004,1.197218999737866,47.6071,46.1071,43.6071,
2016-01-01 11:00:00,48.1071,5.4,1.9,1020.4,120.0,3.6,11,4,1,0,10.1,0.0,2.9583333333333335,1.0361276977576686,45.92528181818182,1.346713170514185,47.6071,47.6071,46.1071,
2016-01-01 12:00:00,48.6071,7.0,4.4,1019.1,120.0,5.1,12,4,1,0,8.5,0.0,3.269230769230769,1.4968770910268572,46.14876666666667,1.4993685539606554,48.1071,47.6071,47.6071,
2016-01-01 13:00:00,48.1071,7.2,4.4,1017.6,110.0,5.7,13,4,1,0,8.3,0.0,3.5500000000000003,1.7809893533996988,46.29940769230769,1.534851533787303,48.6071,48.1071,47.6071,
