timestamp,electricity,airTemperature,cloudCoverage,dewTemperature,precipDepth1HR,precipDepth6HR,seaLvlPressure,windDirection,windSpeed
2016-01-01 00:00:00,11.82,7.2,0.0,-5.6,0.0,,1017.3,0.0,0.0
2016-01-01 01:00:00,11.94,7.2,0.0,-6.7,0.0,,1017.0,50.0,1.5
2016-01-01 02:00:00,12.57,6.1,0.0,-5.0,0.0,,1016.9,0.0,0.0
2016-01-01 03:00:00,12.44,5.0,0.0,-5.6,0.0,,1017.4,0.0,0.0
2016-01-01 04:00:00,12.4,4.4,0.0,-5.6,0.0,,1017.2,0.0,0.0
2016-01-01 05:00:00,12.52,4.4,0.0,-5.0,0.0,,1017.4,0.0,0.0
2016-01-01 06:00:00,12.87,2.8,0.0,-5.0,0.0,,1018.0,0.0,0.0
2016-01-01 07:00:00,12.94,3.3,0.0,-5.0,0.0,,1018.9,0.0,0.0
2016-01-01 08:00:00,12.69,3.3,0.0,-3.9,0.0,,1019.4,0.0,0.0
2016-01-01 09:00:00,11.96,5.6,0.0,-2.8,0.0,,1020.0,100.0,1.5
2016-01-01 10:00:00,11.34,8.3,0.0,-3.3,0.0,,1020.5,0.0,0.0
2016-01-01 11:00:00,11.24,10.6,0.0,-4.4,0.0,,1020.5,0.0,0.0
2016-01-01 12:00:00,10.7,12.2,0.0,-3.9,0.0,,1019.8,0.0,0.0
2016-01-01 13:00:00,10.25,14.4,2.0,-3.3,0.0,,1018.5,0.0,0.0
2016-01-01 14:00:00,9.89,16.7,2.0,-1.7,0.0,,1017.7,0.0,0.0
2016-01-01 15:00:00,9.42,17.8,2.0,-1.1,0.0,,1017.4,0.0,0.0
2016-01-01 16:00:00,9.69,18.9,4.0,-0.6,0.0,,1017.4,0.0,0.0
2016-01-01 17:00:00,10.09,18.3,4.0,-0.6,0.0,,1017.7,270.0,2.6
2016-01-01 18:00:00,10.57,17.2,4.0,0.0,0.0,,1018.1,250.0,2.1
2016-01-01 19:00:00,10.77,14.4,4.0,0.6,0.0,,1018.9,250.0,2.1
2016-01-01 20:00:00,10.51,12.2,2.0,0.6,0.0,,1019.2,210.0,1.5
2016-01-01 21:00:00,11.01,11.7,0.0,0.6,0.0,,1019.4,0.0,0.0
2016-01-01 22:00:00,10.95,11.7,0.0,0.0,0.0,,1019.8,0.0,0.0
2016-01-01 23:00:00,10.72,11.1,0.0,0.0,0.0,,1019.9,0.0,0.0
2016-01-02 00:00:00,11.1,10.6,0.0,0.6,0.0,,1019.9,90.0,3.1
2016-01-02 01:00:00,11.37,11.1,0.0,0.6,0.0,,1019.9,100.0,3.1
2016-01-02 02:00:00,11.38,10.0,0.0,0.6,0.0,,1019.5,100.0,2.6
2016-01-02 03:00:00,11.61,10.6,0.0,0.6,0.0,,1019.4,80.0,3.6
2016-01-02 04:00:00,11.55,11.1,0.0,0.6,0.0,,1019.4,90.0,4.1
2016-01-02 05:00:00,11.59,10.0,0.0,0.6,0.0,,1019.7,110.0,2.1
2016-01-02 06:00:00,11.83,10.0,0.0,0.6,0.0,,1019.9,110.0,3.1
2016-01-02 07:00:00,12.11,9.4,2.0,0.6,0.0,,1020.2,100.0,3.6
2016-01-02 08:00:00,11.64,10.6,4.0,0.6,0.0,,1020.8,90.0,4.1
2016-01-02 09:00:00,10.84,12.2,4.0,0.0,0.0,,1020.9,80.0,6.2
2016-01-02 10:00:00,10.35,14.4,4.0,0.0,0.0,,1021.3,80.0,7.7
2016-01-02 11:00:00,10.24,16.1,4.0,0.0,0.0,,1021.3,70.0,7.7
2016-01-02 12:00:00,9.48,17.8,2.0,-0.6,0.0,,1020.5,100.0,5.1
2016-01-02 13:00:00,9.58,18.9,4.0,-0.6,0.0,,1018.9,100.0,5.7
2016-01-02 14:00:00,9.01,20.6,2.0,-0.6,0.0,,1017.8,100.0,4.1
2016-01-02 15:00:00,9.03,20.6,2.0,-1.1,0.0,,1017.1,100.0,3.1
2016-01-02 16:00:00,9.08,20.6,2.0,-1.7,0.0,,1016.6,110.0,2.1
2016-01-02 17:00:00,8.79,20.0,2.0,-1.1,0.0,,1016.4,70.0,2.6
2016-01-02 18:00:00,9.45,18.9,2.0,-1.1,0.0,,1016.4,60.0,3.1
2016-01-02 19:00:00,9.71,16.7,2.0,-0.6,0.0,,1016.8,80.0,3.6
2016-01-02 20:00:00,10.3,15.6,4.0,-0.6,0.0,,1017.5,90.0,2.6
2016-01-02 21:00:00,9.8,15.0,4.0,-0.6,0.0,,1018.2,100.0,2.1
2016-01-02 22:00:00,10.25,13.9,4.0,0.0,0.0,,1018.5,110.0,3.1
