timestamp,electricity,building_id,airTemperature,cloudCoverage,dewTemperature,precipDepth1HR,precipDepth6HR,seaLvlPressure,windDirection,windSpeed
2016-01-01 00:00:00,23.4,Fox_warehouse_Pearl,7.2,0.0,-5.6,0.0,,1017.3,0.0,0.0
2016-01-01 01:00:00,23.75,Fox_warehouse_Pearl,7.2,0.0,-6.7,0.0,,1017.0,50.0,1.5
2016-01-01 02:00:00,24.29,Fox_warehouse_Pearl,6.1,0.0,-5.0,0.0,,1016.9,0.0,0.0
2016-01-01 03:00:00,26.71,Fox_warehouse_Pearl,5.0,0.0,-5.6,0.0,,1017.4,0.0,0.0
2016-01-01 04:00:00,27.1,Fox_warehouse_Pearl,4.4,0.0,-5.6,0.0,,1017.2,0.0,0.0
2016-01-01 05:00:00,28.31,Fox_warehouse_Pearl,4.4,0.0,-5.0,0.0,,1017.4,0.0,0.0
2016-01-01 06:00:00,28.97,Fox_warehouse_Pearl,2.8,0.0,-5.0,0.0,,1018.0,0.0,0.0
2016-01-01 07:00:00,30.06,Fox_warehouse_Pearl,3.3,0.0,-5.0,0.0,,1018.9,0.0,0.0
2016-01-01 08:00:00,27.67,Fox_warehouse_Pearl,3.3,0.0,-3.9,0.0,,1019.4,0.0,0.0
2016-01-01 09:00:00,26.97,Fox_warehouse_Pearl,5.6,0.0,-2.8,0.0,,1020.0,100.0,1.5
2016-01-01 10:00:00,22.02,Fox_warehouse_Pearl,8.3,0.0,-3.3,0.0,,1020.5,0.0,0.0
2016-01-01 11:00:00,19.28,Fox_warehouse_Pearl,10.6,0.0,-4.4,0.0,,1020.5,0.0,0.0
2016-01-01 12:00:00,17.09,Fox_warehouse_Pearl,12.2,0.0,-3.9,0.0,,1019.8,0.0,0.0
2016-01-01 13:00:00,15.15,Fox_warehouse_Pearl,14.4,2.0,-3.3,0.0,,1018.5,0.0,0.0
2016-01-01 14:00:00,12.86,Fox_warehouse_Pearl,16.7,2.0,-1.7,0.0,,1017.7,0.0,0.0
2016-01-01 15:00:00,12.43,Fox_warehouse_Pearl,17.8,2.0,-1.1,0.0,,1017.4,0.0,0.0
2016-01-01 16:00:00,14.49,Fox_warehouse_Pearl,18.9,4.0,-0.6,0.0,,1017.4,0.0,0.0
2016-01-01 17:00:00,12.2,Fox_warehouse_Pearl,18.3,4.0,-0.6,0.0,,1017.7,270.0,2.6
2016-01-01 18:00:00,14.28,Fox_warehouse_Pearl,17.2,4.0,0.0,0.0,,1018.1,250.0,2.1
2016-01-01 19:00:00,15.99,Fox_warehouse_Pearl,14.4,4.0,0.6,0.0,,1018.9,250.0,2.1
2016-01-01 20:00:00,16.86,Fox_warehouse_Pearl,12.2,2.0,0.6,0.0,,1019.2,210.0,1.5
2016-01-01 21:00:00,18.45,Fox_warehouse_Pearl,11.7,0.0,0.6,0.0,,1019.4,0.0,0.0
2016-01-01 22:00:00,17.87,Fox_warehouse_Pearl,11.7,0.0,0.0,0.0,,1019.8,0.0,0.0
2016-01-01 23:00:00,19.31,Fox_warehouse_Pearl,11.1,0.0,0.0,0.0,,1019.9,0.0,0.0
2016-01-02 00:00:00,18.82,Fox_warehouse_Pearl,10.6,0.0,0.6,0.0,,1019.9,90.0,3.1
2016-01-02 01:00:00,19.82,Fox_warehouse_Pearl,11.1,0.0,0.6,0.0,,1019.9,100.0,3.1
2016-01-02 02:00:00,20.62,Fox_warehouse_Pearl,10.0,0.0,0.6,0.0,,1019.5,100.0,2.6
2016-01-02 03:00:00,21.62,Fox_warehouse_Pearl,10.6,0.0,0.6,0.0,,1019.4,80.0,3.6
2016-01-02 04:00:00,20.38,Fox_warehouse_Pearl,11.1,0.0,0.6,0.0,,1019.4,90.0,4.1
2016-01-02 05:00:00,21.2,Fox_warehouse_Pearl,10.0,0.0,0.6,0.0,,1019.7,110.0,2.1
2016-01-02 06:00:00,21.16,Fox_warehouse_Pearl,10.0,0.0,0.6,0.0,,1019.9,110.0,3.1
2016-01-02 07:00:00,20.39,Fox_warehouse_Pearl,9.4,2.0,0.6,0.0,,1020.2,100.0,3.6
2016-01-02 08:00:00,19.43,Fox_warehouse_Pearl,10.6,4.0,0.6,0.0,,1020.8,90.0,4.1
2016-01-02 09:00:00,19.62,Fox_warehouse_Pearl,12.2,4.0,0.0,0.0,,1020.9,80.0,6.2
2016-01-02 10:00:00,17.48,Fox_warehouse_Pearl,14.4,4.0,0.0,0.0,,1021.3,80.0,7.7
2016-01-02 11:00:00,12.97,Fox_warehouse_Pearl,16.1,4.0,0.0,0.0,,1021.3,70.0,7.7
2016-01-02 12:00:00,12.38,Fox_warehouse_Pearl,17.8,2.0,-0.6,0.0,,1020.5,100.0,5.1
2016-01-02 13:00:00,12.53,Fox_warehouse_Pearl,18.9,4.0,-0.6,0.0,,1018.9,100.0,5.7
2016-01-02 14:00:00,10.79,Fox_warehouse_Pearl,20.6,2.0,-0.6,0.0,,1017.8,100.0,4.1
2016-01-02 15:00:00,10.78,Fox_warehouse_Pearl,20.6,2.0,-1.1,0.0,,1017.1,100.0,3.1
2016-01-02 16:00:00,11.34,Fox_warehouse_Pearl,20.6,2.0,-1.7,0.0,,1016.6,110.0,2.1
