timestamp,electricity,airTemperature,dewTemperature,precipDepth1HR,seaLvlPressure,windDirection,windSpeed,hour,day_of_week,month,is_weekend,HDD,CDD,airTemperature_rolling_24h_mean,airTemperature_rolling_24h_std,electricity_rolling_24h_mean,electricity_rolling_24h_std,electricity_lag_24h
2016-01-02 00:00:00,27.65,10.6,0.6,0.0,1019.9,90.0,3.1,0,5,1,1,4.9,0.0,10.341666666666667,5.248678232508236,26.208333333333332,2.4663309603127272,28.1
2016-01-02 01:00:00,26.4,11.1,0.6,0.0,1019.9,100.0,3.1,1,5,1,1,4.4,0.0,10.504166666666666,5.207392668677587,26.20125,2.4654910658228255,26.57
2016-01-02 02:00:00,25.84,10.0,0.6,0.0,1019.5,100.0,2.6,2,5,1,1,5.5,0.0,10.666666666666666,5.124168366601096,26.205833333333334,2.464679036634017,25.73
2016-01-02 03:00:00,25.85,10.6,0.6,0.0,1019.4,80.0,3.6,3,5,1,1,4.9,0.0,10.9,4.980396352308412,26.20125,2.4652582764418853,25.96
2016-01-02 04:00:00,25.86,11.1,0.6,0.0,1019.4,90.0,4.1,4,5,1,1,4.4,0.0,11.179166666666667,4.784120396793382,26.212499999999995,2.4629626027629192,25.59
2016-01-02 05:00:00,34.02,10.0,0.6,0.0,1019.7,110.0,2.1,5,5,1,1,5.5,0.0,11.4125,4.570920609394926,26.53375,2.93400573856171,26.31
2016-01-02 06:00:00,39.16,10.0,0.6,0.0,1019.9,110.0,3.1,6,5,1,1,5.5,0.0,11.712499999999999,4.2025160683033445,26.918750000000003,3.85831153936312,29.92
2016-01-02 07:00:00,39.08,9.4,0.6,0.0,1020.2,100.0,3.6,7,5,1,1,6.1,0.0,11.966666666666669,3.8404785329850255,27.312916666666666,4.5648062763473005,29.62
2016-01-02 08:00:00,33.77,10.6,0.6,0.0,1020.8,90.0,4.1,8,5,1,1,4.9,0.0,12.270833333333334,3.3864794039862636,27.71166666666667,4.697127398432094,24.2
2016-01-02 09:00:00,33.23,12.2,0.0,0.0,1020.9,80.0,6.2,9,5,1,1,3.3000000000000007,0.0,12.545833333333333,3.0748600769390455,28.112916666666667,4.741726413876909,23.6
