building_id,date,daily_total,daily_peak,day_of_week,is_weekend,month,primaryspaceusage,sqm
Robin_assembly_Colleen,2016-01-01,676.2,31.0,Friday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-02,805.5,49.0,Saturday,True,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-03,772.0,45.5,Sunday,True,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-04,1261.5,73.5,Monday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-05,1339.8,80.0,Tuesday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-06,1512.7,63.62,Wednesday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-07,1527.0,63.62,Thursday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-08,1527.0,63.62,Friday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-09,1527.0,63.62,Saturday,True,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-10,1527.0,63.62,Sunday,True,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-11,1527.0,63.62,Monday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-12,1527.0,63.62,Tuesday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-13,1527.0,63.62,Wednesday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-14,1527.0,63.62,Thursday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-15,1607.4,98.25,Friday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-16,1177.5,70.0,Saturday,True,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-17,1108.5,65.25,Sunday,True,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-18,1586.0,96.75,Monday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-19,1617.2,96.5,Tuesday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-20,1872.5,128.5,Wednesday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-21,2117.5,128.0,Thursday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-22,2123.5,137.75,Friday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-23,1798.2,118.25,Saturday,True,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-24,1602.8,110.75,Sunday,True,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-25,2028.8,131.5,Monday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-26,2180.0,132.0,Tuesday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-27,1770.2,128.5,Wednesday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-28,1663.5,102.5,Thursday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-29,1610.8,97.5,Friday,False,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-30,1352.8,86.5,Saturday,True,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-01-31,1177.5,72.0,Sunday,True,1,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-01,1590.0,98.25,Monday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-02,1569.5,95.75,Tuesday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-03,1505.2,87.75,Wednesday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-04,1482.8,83.0,Thursday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-05,1501.0,89.25,Friday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-06,1166.0,66.75,Saturday,True,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-07,1076.2,70.5,Sunday,True,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-08,1489.8,91.0,Monday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-09,1520.0,89.5,Tuesday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-10,1494.0,87.0,Wednesday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-11,1491.8,86.0,Thursday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-12,1459.2,86.25,Friday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-13,1217.0,75.25,Saturday,True,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-14,1141.8,70.5,Sunday,True,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-15,1451.2,83.0,Monday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-16,1396.0,79.5,Tuesday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-17,1388.8,78.75,Wednesday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-18,1404.0,79.75,Thursday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-19,1373.2,78.0,Friday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-20,1134.2,65.5,Saturday,True,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-21,1101.5,68.0,Sunday,True,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-22,1450.0,83.5,Monday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-23,1469.2,85.0,Tuesday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-24,1495.0,83.5,Wednesday,False,2,Entertainment/public assembly,5948.0
Robin_assembly_Colleen,2016-02-25,1485.0,86.25,Thursday,False,2,Entertainment/public assembly,5948.0
