timestamp,electricity,building_id,airTemperature,cloudCoverage,dewTemperature,precipDepth1HR,precipDepth6HR,seaLvlPressure,windDirection,windSpeed
2016-01-01 00:00:00,23.3036,Robin_education_Kiera,3.8,,2.4,,0.0,1020.9,240.0,3.1
2016-01-01 01:00:00,45.6071,Robin_education_Kiera,3.7,0.0,2.4,,,1021.6,230.0,2.6
2016-01-01 02:00:00,45.6071,Robin_education_Kiera,2.6,0.0,1.9,,,1021.9,0.0,0.0
2016-01-01 03:00:00,45.1071,Robin_education_Kiera,2.0,0.0,1.2,,,1022.3,170.0,1.5
2016-01-01 04:00:00,45.6071,Robin_education_Kiera,2.3,0.0,1.8,,,1022.7,110.0,1.5
2016-01-01 05:00:00,45.1071,Robin_education_Kiera,2.4,,2.0,,,1023.0,100.0,1.0
2016-01-01 06:00:00,45.1071,Robin_education_Kiera,2.3,,1.8,,,1023.0,90.0,1.5
2016-01-01 07:00:00,43.6071,Robin_education_Kiera,2.6,,1.9,,,1022.5,80.0,1.0
2016-01-01 08:00:00,46.1071,Robin_education_Kiera,2.2,,1.5,,,1022.3,60.0,1.0
2016-01-01 09:00:00,47.6071,Robin_education_Kiera,2.2,,1.2,,,1022.0,100.0,2.6
2016-01-01 10:00:00,47.6071,Robin_education_Kiera,4.0,,1.8,,,1020.9,90.0,4.1
2016-01-01 11:00:00,48.1071,Robin_education_Kiera,5.4,,1.9,,,1020.4,120.0,3.6
2016-01-01 12:00:00,48.6071,Robin_education_Kiera,7.0,,4.4,,0.0,1019.1,120.0,5.1
2016-01-01 13:00:00,48.1071,Robin_education_Kiera,7.2,,4.4,,,1017.6,110.0,5.7
2016-01-01 14:00:00,48.6071,Robin_education_Kiera,7.4,,4.5,,,1016.2,100.0,5.1
2016-01-01 15:00:00,49.1071,Robin_education_Kiera,7.5,,5.6,,,1014.9,100.0,7.2
2016-01-01 16:00:00,49.1071,Robin_education_Kiera,7.6,,6.7,,,1013.8,110.0,5.7
2016-01-01 17:00:00,49.1071,Robin_education_Kiera,8.0,,7.1,,,1012.5,120.0,6.7
2016-01-01 18:00:00,48.1071,Robin_education_Kiera,8.1,,6.5,,,1011.0,130.0,7.7
2016-01-01 19:00:00,47.6071,Robin_education_Kiera,8.1,,6.3,,,1010.2,120.0,8.8
2016-01-01 20:00:00,48.6071,Robin_education_Kiera,8.2,,6.2,,,1008.8,120.0,8.2
2016-01-01 21:00:00,46.6071,Robin_education_Kiera,8.5,,6.1,,,1007.5,120.0,8.2
2016-01-01 22:00:00,45.6071,Robin_education_Kiera,8.3,,6.5,,,1006.4,130.0,8.2
2016-01-01 23:00:00,45.1071,Robin_education_Kiera,7.9,,7.0,,,1005.1,130.0,7.2
2016-01-02 00:00:00,37.9286,Robin_education_Kiera,8.1,,7.4,,10.0,1004.2,130.0,7.2
2016-01-02 01:00:00,50.5536,Robin_education_Kiera,8.2,,7.7,,,1002.4,110.0,8.2
2016-01-02 02:00:00,41.25,Robin_education_Kiera,8.5,,8.1,,,1001.9,120.0,6.7
2016-01-02 03:00:00,43.0,Robin_education_Kiera,9.1,,8.2,,,1001.0,130.0,7.2
2016-01-02 04:00:00,42.625,Robin_education_Kiera,9.3,,8.3,,,1000.0,130.0,7.2
2016-01-02 05:00:00,42.0,Robin_education_Kiera,9.6,,8.4,,,998.9,130.0,8.2
2016-01-02 06:00:00,41.625,Robin_education_Kiera,9.7,,8.4,,,998.3,130.0,7.7
2016-01-02 07:00:00,40.125,Robin_education_Kiera,9.4,,8.8,,,997.9,130.0,8.2
2016-01-02 08:00:00,40.5,Robin_education_Kiera,9.7,,8.9,,,997.5,140.0,7.2
2016-01-02 09:00:00,41.625,Robin_education_Kiera,9.9,,9.1,,,997.6,140.0,7.2
2016-01-02 10:00:00,42.625,Robin_education_Kiera,9.8,,9.4,,,997.3,130.0,6.2
2016-01-02 11:00:00,45.375,Robin_education_Kiera,9.9,,9.6,,,996.7,130.0,7.2
2016-01-02 12:00:00,46.25,Robin_education_Kiera,10.1,,9.5,,20.0,996.0,130.0,8.2
2016-01-02 13:00:00,46.375,Robin_education_Kiera,10.0,,9.6,,,995.1,130.0,7.7
2016-01-02 14:00:00,49.875,Robin_education_Kiera,10.0,,9.8,,,994.3,120.0,8.2
2016-01-02 15:00:00,49.0,Robin_education_Kiera,10.2,,10.2,,,994.3,140.0,5.7
2016-01-02 16:00:00,50.0,Robin_education_Kiera,11.2,,11.1,,,994.7,190.0,5.1
2016-01-02 17:00:00,48.75,Robin_education_Kiera,10.9,,10.5,,,995.4,210.0,6.7
2016-01-02 18:00:00,48.875,Robin_education_Kiera,10.9,,10.3,,,995.9,230.0,7.2
2016-01-02 19:00:00,49.25,Robin_education_Kiera,10.4,,9.7,,,997.0,260.0,8.2
2016-01-02 20:00:00,49.125,Robin_education_Kiera,10.1,,9.6,,,998.3,270.0,6.2
2016-01-02 21:00:00,47.25,Robin_education_Kiera,9.9,,9.6,,,999.2,260.0,8.8
2016-01-02 22:00:00,46.625,Robin_education_Kiera,9.9,,9.0,,,999.9,260.0,7.2
2016-01-02 23:00:00,46.25,Robin_education_Kiera,10.0,,9.2,,,1000.3,250.0,6.2
2016-01-03 00:00:00,45.375,Robin_education_Kiera,9.7,,9.2,,2.0,1001.1,240.0,6.7
2016-01-03 01:00:00,44.5,Robin_education_Kiera,9.3,,8.5,,,1001.4,250.0,9.3
2016-01-03 02:00:00,43.875,Robin_education_Kiera,8.5,,7.2,,,1002.0,250.0,7.7
2016-01-03 03:00:00,43.125,Robin_education_Kiera,7.7,,5.7,,,1002.5,240.0,8.2
2016-01-03 04:00:00,43.75,Robin_education_Kiera,6.8,,3.9,,,1001.7,230.0,5.7
2016-01-03 05:00:00,43.5,Robin_education_Kiera,6.3,,3.3,,,1000.9,190.0,3.6
2016-01-03 06:00:00,44.25,Robin_education_Kiera,5.2,,2.5,,,1000.0,160.0,3.1
2016-01-03 07:00:00,43.0,Robin_education_Kiera,5.8,,2.9,,,998.7,150.0,3.6
2016-01-03 08:00:00,43.375,Robin_education_Kiera,6.8,,4.6,,,997.1,150.0,4.6
2016-01-03 09:00:00,44.0,Robin_education_Kiera,7.9,,6.5,,,995.5,140.0,4.6
2016-01-03 10:00:00,45.25,Robin_education_Kiera,8.9,,7.8,,,993.6,150.0,6.2
2016-01-03 11:00:00,48.25,Robin_education_Kiera,9.2,,8.2,,,991.5,150.0,8.2
2016-01-03 12:00:00,52.625,Robin_education_Kiera,9.1,,8.2,,10.0,989.0,140.0,9.3
2016-01-03 13:00:00,54.625,Robin_education_Kiera,8.9,,8.2,,,987.0,150.0,8.2
2016-01-03 14:00:00,55.875,Robin_education_Kiera,8.9,,8.3,,,984.6,140.0,9.3
2016-01-03 15:00:00,56.375,Robin_education_Kiera,9.6,,8.5,,,984.7,190.0,5.1
2016-01-03 16:00:00,55.75,Robin_education_Kiera,9.4,,8.3,,,984.2,190.0,4.6
2016-01-03 17:00:00,56.375,Robin_education_Kiera,8.3,,7.8,,,984.6,190.0,3.6
2016-01-03 18:00:00,55.375,Robin_education_Kiera,8.2,,7.6,,,984.2,210.0,4.6
2016-01-03 19:00:00,56.625,Robin_education_Kiera,8.1,0.0,7.5,,,983.9,220.0,4.6
2016-01-03 20:00:00,54.0,Robin_education_Kiera,7.8,0.0,7.0,,,984.0,190.0,3.6
2016-01-03 21:00:00,48.875,Robin_education_Kiera,7.4,0.0,6.8,,,984.0,200.0,3.1
2016-01-03 22:00:00,47.375,Robin_education_Kiera,6.6,0.0,6.1,,,984.0,200.0,3.6
2016-01-03 23:00:00,46.875,Robin_education_Kiera,6.5,0.0,5.9,,,983.9,190.0,4.1
2016-01-04 00:00:00,47.375,Robin_education_Kiera,6.0,0.0,5.5,,0.0,983.8,180.0,4.1
2016-01-04 01:00:00,44.0,Robin_education_Kiera,6.3,,5.8,,,983.5,180.0,3.1
2016-01-04 02:00:00,44.75,Robin_education_Kiera,6.6,,5.9,,,983.5,170.0,3.6
2016-01-04 03:00:00,45.0,Robin_education_Kiera,6.1,,5.5,,,983.3,180.0,4.1
2016-01-04 04:00:00,43.375,Robin_education_Kiera,6.4,,5.7,,,983.1,180.0,4.1
2016-01-04 05:00:00,44.375,Robin_education_Kiera,5.8,,5.3,,,983.2,170.0,2.1
2016-01-04 06:00:00,46.25,Robin_education_Kiera,6.4,,6.0,,,983.0,180.0,3.6
2016-01-04 07:00:00,55.625,Robin_education_Kiera,6.7,,6.0,,,982.8,160.0,3.6
2016-01-04 08:00:00,68.0,Robin_education_Kiera,7.4,,6.2,,,982.7,180.0,4.6
2016-01-04 09:00:00,85.375,Robin_education_Kiera,7.7,,6.5,,,982.8,160.0,4.1
2016-01-04 10:00:00,94.5,Robin_education_Kiera,8.9,,7.4,,,982.7,180.0,4.6
2016-01-04 11:00:00,111.125,Robin_education_Kiera,9.7,,7.5,,,982.7,200.0,5.1
2016-01-04 12:00:00,115.125,Robin_education_Kiera,9.8,,7.5,,0.0,982.3,200.0,5.7
2016-01-04 13:00:00,114.5,Robin_education_Kiera,10.1,,8.0,,,982.0,190.0,5.1
2016-01-04 14:00:00,114.0,Robin_education_Kiera,10.4,,7.4,,,981.8,210.0,4.6
