temp_sensor_1,temp_sensor_2,temp_sensor_3,temp_sensor_4,co2,co2_slope,occupancy_count
24.94,24.75,24.56,25.38,390,0.769230769231,1
24.94,24.75,24.56,25.44,390,0.646153846154,1
25.0,24.75,24.5,25.44,390,0.519230769231,1
25.0,24.75,24.56,25.44,390,0.388461538462,1
25.0,24.75,24.56,25.44,390,0.253846153846,1
25.0,24.81,24.56,25.44,390,0.165384615385,1
25.0,24.75,24.56,25.44,390,0.0769230769231,1
25.0,24.81,24.56,25.44,390,-0.0115384615385,1
25.0,24.81,24.56,25.5,390,-0.1,1
25.0,24.81,24.56,25.5,390,-0.188461538462,1
25.06,24.81,24.56,25.44,390,-0.276923076923,1
25.06,24.81,24.56,25.5,390,-0.365384615385,1
25.06,24.88,24.63,25.5,390,-0.453846153846,1
25.06,24.81,24.63,25.56,390,-0.542307692308,1
25.06,24.88,24.63,25.56,390,-0.630769230769,1
25.06,24.88,24.63,25.56,390,-0.719230769231,1
25.06,24.88,24.63,25.56,395,-0.711538461538,1
25.06,24.81,24.63,25.56,395,-0.653846153846,1
25.06,24.81,24.63,25.56,395,-0.542307692308,1
25.06,24.88,24.63,25.5,395,-0.373076923077,1
25.13,24.88,24.63,25.5,390,-0.238461538462,1
25.06,24.88,24.63,25.56,395,-0.0923076923077,1
25.13,24.88,24.63,25.56,395,0.0615384615385,1
25.13,24.88,24.63,25.56,400,0.319230769231,1
25.13,24.88,24.63,25.5,400,0.334615384615,1
25.13,24.88,24.69,25.5,400,0.388461538462,1
25.13,24.88,24.69,25.5,405,0.480769230769,1
25.13,24.88,24.69,25.56,410,0.607692307692,1
25.13,24.88,24.69,25.56,410,0.719230769231,1
25.13,24.88,24.69,25.56,405,0.769230769231,1
25.19,24.88,24.69,25.56,405,0.807692307692,1
25.19,24.88,24.69,25.56,400,0.788461538462,1
25.19,24.88,24.69,25.56,410,0.853846153846,1
25.19,24.88,24.69,25.56,410,0.903846153846,1
25.19,24.88,24.69,25.69,405,0.892307692308,1
25.19,24.88,24.69,25.63,410,0.915384615385,1
25.19,24.88,24.69,25.63,410,0.923076923077,1
25.19,24.94,24.69,25.56,415,0.961538461538,1
25.19,24.88,24.69,25.56,420,1.02692307692,1
25.19,24.94,24.69,25.56,425,1.11538461538,1
25.19,24.94,24.75,25.56,425,1.17692307692,1
25.19,24.94,24.69,25.63,420,1.21538461538,1
25.19,24.94,24.75,25.63,420,1.23461538462,1
25.19,24.94,24.69,25.63,420,1.23461538462,1
25.19,24.88,24.69,25.63,420,1.21538461538,1
25.19,24.94,24.75,25.63,425,1.17307692308,1
25.19,24.94,24.75,25.63,430,1.2,1
25.25,24.94,24.75,25.63,430,1.2,1
25.25,24.94,24.75,25.63,435,1.26923076923,1
25.25,24.94,24.75,25.56,425,1.21923076923,1
25.25,24.94,24.75,25.69,425,1.15,1
25.25,24.94,24.75,25.63,420,1.06538461538,1
25.25,24.94,24.75,25.63,420,1.01923076923,1
25.25,24.94,24.75,25.63,420,0.965384615385,1
25.25,24.94,24.75,25.69,430,0.946153846154,1
25.25,24.94,24.75,25.69,435,0.953846153846,1
25.25,24.94,24.81,25.63,430,0.842307692308,1
25.25,24.94,24.75,25.63,445,0.946153846154,1
25.25,24.94,24.75,25.56,440,0.976923076923,1
25.25,25.0,24.81,25.63,440,0.934615384615,1
25.25,24.94,24.81,25.69,435,0.869230769231,1
25.25,25.0,24.81,25.69,430,0.738461538462,1
25.25,25.0,24.81,25.63,435,0.688461538462,1
25.25,25.0,24.81,25.69,440,0.719230769231,1
25.31,25.0,24.81,25.69,445,0.830769230769,1
25.31,25.0,24.81,25.63,445,0.926923076923,1
25.31,25.0,24.81,25.63,445,0.957692307692,1
25.31,25.0,24.81,25.69,445,0.969230769231,1
25.31,25.0,24.81,25.75,440,0.915384615385,1
25.31,25.0,24.81,25.75,440,0.846153846154,1
25.31,25.0,24.81,25.75,445,0.857692307692,1
25.31,25.0,24.81,25.69,445,0.903846153846,1
25.31,25.0,24.81,25.75,450,0.984615384615,1
25.31,25.25,24.88,25.75,450,1.1,1
25.31,25.63,24.81,25.75,450,1.10384615385,1
25.38,25.44,24.81,25.69,450,1.08846153846,2
25.38,25.44,24.81,25.75,450,1.00384615385,2
25.38,25.44,24.88,25.75,450,0.896153846154,2
25.38,25.44,24.81,25.75,445,0.719230769231,2
25.38,25.38,24.81,25.81,445,0.623076923077,2
25.38,25.38,24.88,25.81,450,0.611538461538,2
25.38,25.44,24.81,25.81,450,0.538461538462,2
25.38,25.44,24.88,25.69,455,0.646153846154,2
25.38,25.44,24.81,25.81,455,0.696153846154,2
25.38,25.31,24.88,25.75,450,0.688461538462,2
25.38,25.38,24.88,25.75,450,0.623076923077,2
25.38,25.38,24.88,25.75,445,0.45,2
25.38,25.44,24.88,25.75,450,0.361538461538,2
25.44,25.44,24.88,25.75,450,0.311538461538,2
25.44,25.38,24.88,25.81,450,0.303846153846,2
25.44,25.38,24.88,25.81,460,0.384615384615,2
25.44,25.44,24.88,25.81,460,0.453846153846,2
25.44,25.5,24.88,25.75,475,0.65,2
25.44,25.56,24.88,25.75,480,0.819230769231,2
25.44,25.5,24.88,25.75,480,0.957692307692,2
25.44,25.56,24.94,25.75,485,1.16153846154,2
25.44,25.56,24.94,25.81,490,1.38076923077,2
25.44,25.56,24.94,25.75,500,1.70769230769,2
25.5,25.56,24.88,25.81,500,1.99615384615,2
25.5,25.56,24.88,25.81,500,2.24615384615,2
25.44,25.56,24.94,25.88,500,2.45769230769,2
25.44,25.56,24.94,25.81,510,2.72307692308,2
25.5,25.56,24.94,25.81,510,2.94230769231,2
25.5,25.56,24.94,25.75,515,3.11153846154,2
